Time,id,iq,Te,omega_m
0.000,0.000,0.168,0.000,-0.005
0.000,-0.000,0.333,0.101,-0.009
0.000,-0.000,0.496,0.200,-0.012
0.000,-0.000,0.657,0.298,-0.014
0.000,-0.000,0.816,0.394,-0.015
0.001,-0.000,0.972,0.489,-0.015
0.001,-0.000,1.127,0.583,-0.014
0.001,-0.000,1.279,0.676,-0.013
0.001,-0.000,1.429,0.767,-0.010
0.001,-0.000,1.578,0.858,-0.006
0.001,-0.000,1.724,0.947,-0.002
0.001,-0.000,1.868,1.034,0.003
0.001,-0.000,2.010,1.121,0.010
0.001,-0.000,2.150,1.206,0.017
0.001,-0.000,2.289,1.290,0.025
0.002,0.000,2.425,1.373,0.033
0.002,0.000,2.559,1.455,0.043
0.002,0.000,2.692,1.536,0.053
0.002,0.000,2.822,1.615,0.064
0.002,0.000,2.951,1.693,0.076
0.002,0.000,3.078,1.771,0.089
0.002,0.000,3.203,1.847,0.103
0.002,0.001,3.326,1.922,0.117
0.002,0.001,3.448,1.996,0.132
0.002,0.001,3.567,2.069,0.147
0.002,0.001,3.685,2.140,0.164
0.003,0.001,3.801,2.211,0.181
0.003,0.002,3.916,2.281,0.199
0.003,0.002,4.028,2.349,0.217
0.003,0.002,4.139,2.417,0.236
0.003,0.003,4.249,2.484,0.256
0.003,0.003,4.356,2.549,0.277
0.003,0.004,4.462,2.614,0.298
0.003,0.004,4.567,2.677,0.320
0.003,0.005,4.670,2.740,0.342
0.003,0.006,4.771,2.802,0.365
0.004,0.006,4.870,2.862,0.389
0.004,0.007,4.968,2.922,0.413
0.004,0.008,5.065,2.981,0.438
0.004,0.009,5.160,3.039,0.463
0.004,0.010,5.254,3.096,0.489
0.004,0.011,5.346,3.152,0.516
0.004,0.012,5.436,3.207,0.543
0.004,0.013,5.525,3.261,0.570
0.004,0.014,5.613,3.315,0.598
0.004,0.016,5.699,3.367,0.627
0.005,0.017,5.784,3.419,0.656
0.005,0.018,5.867,3.470,0.686
0.005,0.020,5.949,3.520,0.716
0.005,0.021,6.030,3.569,0.747
0.005,0.023,6.109,3.617,0.778
0.005,0.025,6.187,3.665,0.810
0.005,0.027,6.264,3.711,0.842
0.005,0.029,6.339,3.757,0.874
0.005,0.031,6.413,3.802,0.907
0.006,0.033,6.486,3.847,0.941
0.006,0.035,6.557,3.890,0.975
0.006,0.037,6.627,3.933,1.009
0.006,0.039,6.696,3.975,1.044
0.006,0.042,6.764,4.016,1.079
0.006,0.044,6.831,4.057,1.115
0.006,0.047,6.896,4.097,1.150
0.006,0.050,6.960,4.136,1.187
0.006,0.053,7.023,4.174,1.224
0.006,0.055,7.085,4.212,1.261
0.007,0.058,7.146,4.249,1.298
0.007,0.062,7.206,4.285,1.336
0.007,0.065,7.264,4.321,1.374
0.007,0.068,7.321,4.356,1.413
0.007,0.071,7.378,4.390,1.452
0.007,0.075,7.433,4.423,1.491
0.007,0.078,7.487,4.456,1.530
0.007,0.082,7.540,4.489,1.570
0.007,0.086,7.592,4.520,1.611
0.007,0.090,7.643,4.551,1.651
0.008,0.094,7.693,4.582,1.692
0.008,0.098,7.742,4.612,1.733
0.008,0.102,7.790,4.641,1.774
0.008,0.106,7.837,4.669,1.816
0.008,0.110,7.884,4.698,1.858
0.008,0.115,7.929,4.725,1.900
0.008,0.119,7.973,4.752,1.943
0.008,0.124,8.016,4.778,1.986
0.008,0.128,8.059,4.804,2.029
0.008,0.133,8.100,4.829,2.072
0.009,0.138,8.141,4.854,2.116
0.009,0.143,8.180,4.878,2.159
0.009,0.148,8.219,4.901,2.203
0.009,0.153,8.257,4.924,2.248
0.009,0.158,8.294,4.947,2.292
0.009,0.164,8.330,4.969,2.337
0.009,0.169,8.366,4.990,2.382
0.009,0.174,8.400,5.011,2.427
0.009,0.180,8.434,5.031,2.472
0.009,0.186,8.467,5.051,2.518
0.009,0.191,8.499,5.071,2.563
0.010,0.197,8.531,5.090,2.609
0.010,0.203,8.561,5.108,2.655
0.010,0.209,8.591,5.126,2.702
0.010,0.215,8.620,5.144,2.748
0.010,0.221,8.649,5.161,2.795
0.010,0.227,8.677,5.178,2.841
0.010,0.234,8.704,5.194,2.888
0.010,0.240,8.730,5.210,2.935
0.010,0.246,8.755,5.225,2.983
0.010,0.253,8.780,5.240,3.030
0.011,0.259,8.804,5.255,3.078
0.011,0.266,8.828,5.269,3.125
0.011,0.273,8.851,5.283,3.173
0.011,0.279,8.873,5.296,3.221
0.011,0.286,8.895,5.309,3.269
0.011,0.293,8.915,5.321,3.317
0.011,0.300,8.936,5.334,3.366
0.011,0.307,8.955,5.345,3.414
0.011,0.314,8.974,5.357,3.463
0.011,0.321,8.993,5.368,3.511
0.012,0.328,9.011,5.378,3.560
0.012,0.335,9.028,5.389,3.609
0.012,0.343,9.045,5.399,3.658
0.012,0.350,9.061,5.408,3.707
0.012,0.357,9.077,5.418,3.756
0.012,0.365,9.092,5.426,3.806
0.012,0.372,9.106,5.435,3.855
0.012,0.379,9.120,5.443,3.904
0.012,0.387,9.133,5.451,3.954
0.012,0.394,9.146,5.459,4.003
0.013,0.402,9.159,5.466,4.053
0.013,0.410,9.171,5.473,4.103
0.013,0.417,9.182,5.480,4.153
0.013,0.425,9.193,5.486,4.203
0.013,0.433,9.203,5.492,4.252
0.013,0.440,9.213,5.498,4.302
0.013,0.448,9.223,5.504,4.352
0.013,0.456,9.232,5.509,4.403
0.013,0.464,9.240,5.514,4.453
0.013,0.472,9.248,5.518,4.503
0.014,0.480,9.256,5.523,4.553
0.014,0.487,9.263,5.527,4.603
0.014,0.495,9.270,5.531,4.654
0.014,0.503,9.277,5.535,4.704
0.014,0.511,9.283,5.538,4.754
0.014,0.519,9.288,5.541,4.805
0.014,0.527,9.293,5.544,4.855
0.014,0.535,9.298,5.547,4.906
0.014,0.543,9.302,5.549,4.956
0.014,0.551,9.306,5.551,5.007
0.015,0.559,9.310,5.553,5.057
0.015,0.567,9.313,5.555,5.108
0.015,0.575,9.316,5.556,5.158
0.015,0.583,9.319,5.558,5.209
0.015,0.591,9.321,5.559,5.260
0.015,0.599,9.323,5.560,5.310
0.015,0.607,9.324,5.560,5.361
0.015,0.615,9.326,5.561,5.411
0.015,0.623,9.326,5.561,5.462
0.015,0.631,9.327,5.561,5.513
0.016,0.639,9.327,5.561,5.563
0.016,0.646,9.327,5.561,5.614
0.016,0.654,9.327,5.560,5.664
0.016,0.662,9.326,5.559,5.715
0.016,0.670,9.325,5.559,5.766
0.016,0.678,9.324,5.557,5.816
0.016,0.686,9.322,5.556,5.867
0.016,0.694,9.320,5.555,5.917
0.016,0.701,9.318,5.553,5.968
0.016,0.709,9.316,5.552,6.018
0.017,0.717,9.313,5.550,6.069
0.017,0.725,9.310,5.548,6.119
0.017,0.733,9.307,5.546,6.170
0.017,0.740,9.304,5.543,6.220
0.017,0.748,9.300,5.541,6.271
0.017,0.755,9.296,5.538,6.321
0.017,0.763,9.292,5.536,6.371
0.017,0.771,9.288,5.533,6.422
0.017,0.778,9.283,5.530,6.472
0.017,0.786,9.278,5.526,6.522
0.018,0.793,9.273,5.523,6.572
0.018,0.801,9.268,5.520,6.623
0.018,0.808,9.263,5.516,6.673
0.018,0.815,9.257,5.513,6.723
0.018,0.823,9.251,5.509,6.773
0.018,0.830,9.245,5.505,6.823
0.018,0.837,9.239,5.501,6.873
0.018,0.844,9.232,5.497,6.923
0.018,0.852,9.226,5.493,6.973
0.018,0.859,9.219,5.488,7.023
0.019,0.866,9.212,5.484,7.073
0.019,0.873,9.205,5.479,7.122
0.019,0.880,9.198,5.475,7.172
0.019,0.887,9.190,5.470,7.222
0.019,0.894,9.183,5.465,7.272
0.019,0.900,9.175,5.460,7.321
0.019,0.907,9.167,5.455,7.371
0.019,0.914,9.159,5.450,7.420
0.019,0.921,9.151,5.445,7.470
0.019,0.927,9.142,5.440,7.519
0.020,0.934,9.134,5.435,7.568
0.020,0.940,9.125,5.429,7.618
0.020,0.947,9.116,5.424,7.667
0.020,0.953,9.108,5.418,7.716
0.020,0.960,9.099,5.412,7.765
0.020,0.966,9.089,5.407,7.814
0.020,0.972,9.080,5.401,7.863
0.020,0.978,9.071,5.395,7.912
0.020,0.984,9.061,5.389,7.961
0.020,0.991,9.052,5.383,8.010
0.021,0.997,9.042,5.377,8.059
0.021,1.003,9.032,5.371,8.107
0.021,1.009,9.023,5.365,8.156
0.021,1.014,9.013,5.359,8.205
0.021,1.020,9.003,5.353,8.253
0.021,1.026,8.992,5.346,8.302
0.021,1.032,8.982,5.340,8.350
0.021,1.037,8.972,5.334,8.398
0.021,1.043,8.962,5.327,8.447
0.021,1.048,8.951,5.321,8.495
0.022,1.054,8.941,5.314,8.543
0.022,1.059,8.930,5.308,8.591
0.022,1.064,8.919,5.301,8.639
0.022,1.070,8.909,5.295,8.687
0.022,1.075,8.898,5.288,8.735
0.022,1.080,8.887,5.281,8.783
0.022,1.085,8.876,5.275,8.831
0.022,1.090,8.865,5.268,8.878
0.022,1.095,8.854,5.261,8.926
0.022,1.100,8.843,5.254,8.973
0.023,1.105,8.832,5.247,9.021
0.023,1.109,8.821,5.240,9.068
0.023,1.114,8.809,5.234,9.116
0.023,1.119,8.798,5.227,9.163
